Line1, 62.232438380797774 m/(s^2)
Line2, 89.01185731852969 m/(s^2)
Line3, 37.82165537180269 m/(s^2)
Line4, 19.913380023213676 m/(s^2)
Line5, 20.686089960258816 m/(s^2)
Line6, 7.626114650182231 m/(s^2)
Line7, 34.872900673380364 m/(s^2)
Line8, 5.5954034385631 m/(s^2)
Line9, 97.22687330958145 m/(s^2)
Line10, 75.44123724618191 m/(s^2)
Line11, 14.526590104088326 m/(s^2)
Line12, 72.1727301428705 m/(s^2)
Line13, 61.57999795155409 m/(s^2)
Line14, 33.05262748763399 m/(s^2)
Line15, 38.755131365743395 m/(s^2)
Line16, 1.6593159011337844 m/(s^2)
Line17, 44.38927217249645 m/(s^2)
Line18, 52.441170775254776 m/(s^2)
Line19, 51.95891147113261 m/(s^2)
Line20, 46.78248814440439 m/(s^2)
Line21, 51.97619971913252 m/(s^2)
Line22, 63.655109201002794 m/(s^2)
Line23, 70.95725019189507 m/(s^2)
Line24, 24.491104052524744 m/(s^2)
Line25, 94.54387187640951 m/(s^2)
Line26, 79.70674410932303 m/(s^2)
Line27, 80.97396607951822 m/(s^2)
Line28, 87.33397095609558 m/(s^2)
Line29, 69.08104794740493 m/(s^2)
Line30, 14.701280991846714 m/(s^2)
Line31, 61.392159129334125 m/(s^2)
Line32, 9.651719334104534 m/(s^2)
Line33, 88.07296936521507 m/(s^2)
Line34, 62.89007001600842 m/(s^2)
Line35, 77.81419442572847 m/(s^2)
Line36, 13.174358566390834 m/(s^2)
Line37, 37.10962739062131 m/(s^2)
Line38, 98.9352634893617 m/(s^2)
Line39, 85.81172124047785 m/(s^2)
Line40, 35.336093692235224 m/(s^2)
Line41, 81.64293770468794 m/(s^2)
Line42, 6.230895904042365 m/(s^2)
Line43, 79.14319337296882 m/(s^2)
Line44, 47.90943713831524 m/(s^2)
Line45, 14.146531988663504 m/(s^2)
Line46, 14.895692900880821 m/(s^2)
Line47, 35.5725281890726 m/(s^2)
Line48, 50.791782199407585 m/(s^2)
Line49, 75.5975995098972 m/(s^2)
Line50, 10.838883119984336 m/(s^2)
Line51, 40.52480649617681 m/(s^2)
Line52, 83.84244888224883 m/(s^2)
Line53, 85.86880308230192 m/(s^2)
Line54, 74.08593449218694 m/(s^2)
Line55, 36.368024713137835 m/(s^2)
Line56, 56.67252740813412 m/(s^2)
Line57, 57.37587827498837 m/(s^2)
Line58, 9.839888369534155 m/(s^2)
Line59, 29.926130211515378 m/(s^2)
Line60, 92.87538704616682 m/(s^2)
Line61, 39.79829785553204 m/(s^2)
Line62, 69.59943419368773 m/(s^2)
Line63, 22.65568282278061 m/(s^2)
Line64, 80.67021448990633 m/(s^2)
Line65, 46.65166450360975 m/(s^2)
Line66, 65.8195289990758 m/(s^2)
Line67, 99.69007405564241 m/(s^2)
Line68, 39.68947067268373 m/(s^2)
Line69, 33.78311436779017 m/(s^2)
Line70, 91.29824943992601 m/(s^2)
Line71, 74.19882264326112 m/(s^2)
Line72, 66.8884297716983 m/(s^2)
Line73, 24.567825351543483 m/(s^2)
Line74, 29.298479831701652 m/(s^2)
Line75, 35.79621609169834 m/(s^2)
Line76, 1.503861750808034 m/(s^2)
Line77, 70.81778132148912 m/(s^2)
Line78, 90.36683655092071 m/(s^2)
Line79, 91.95573802197029 m/(s^2)
Line80, 25.17595124978717 m/(s^2)
Line81, 98.93018356161345 m/(s^2)
Line82, 80.54597375217669 m/(s^2)
Line83, 38.746154627722575 m/(s^2)
Line84, 89.52883455168653 m/(s^2)
Line85, 68.32189688248465 m/(s^2)
Line86, 76.58901176675047 m/(s^2)
Line87, 88.64601015686482 m/(s^2)
Line88, 99.5333406613099 m/(s^2)
Line89, 16.903560427720727 m/(s^2)
Line90, 25.72002499695346 m/(s^2)
Line91, 23.17282746913477 m/(s^2)
Line92, 24.391082174176415 m/(s^2)
Line93, 40.76758316903034 m/(s^2)
Line94, 54.0560044991382 m/(s^2)
Line95, 35.54144850489778 m/(s^2)
Line96, 80.64534514863882 m/(s^2)
Line97, 59.08953214085776 m/(s^2)
Line98, 46.8448489661848 m/(s^2)
Line99, 98.55247071872414 m/(s^2)
Line100, 88.14820146833345 m/(s^2)
