Line1, 43.51402724654611 C
Line2, 34.26777508300845 C
Line3, 34.337389758459715 C
Line4, 37.46073869749434 C
Line5, 39.1255252138814 C
Line6, 32.86232995886648 C
Line7, 30.337706969190595 C
Line8, 42.468175296297744 C
Line9, 39.14875805666667 C
Line10, 39.19701385856533 C
Line11, 31.84550665893639 C
Line12, 41.237932358183286 C
Line13, 38.113711074841035 C
Line14, 37.141558876616784 C
Line15, 39.61277121548089 C
Line16, 42.908597217111826 C
Line17, 41.56233522551271 C
Line18, 40.0993801737369 C
Line19, 44.9921904947153 C
Line20, 30.32704945844484 C
Line21, 41.69731603114808 C
Line22, 35.692584296161854 C
Line23, 44.141451072717345 C
Line24, 36.91145152446307 C
Line25, 37.011258481336014 C
Line26, 44.88084370932295 C
Line27, 32.57958443928598 C
Line28, 42.35427909274845 C
Line29, 42.92639082023664 C
Line30, 34.42334669476773 C
Line31, 31.94916431942353 C
Line32, 35.68924153828347 C
Line33, 41.51712746321806 C
Line34, 38.87925140679644 C
Line35, 34.436503315313146 C
Line36, 39.337327238365376 C
Line37, 42.13430915036365 C
Line38, 35.23313146856245 C
Line39, 43.17465523917857 C
Line40, 41.353880660079 C
Line41, 37.91080961362702 C
Line42, 41.7598986430649 C
Line43, 43.09592817647485 C
Line44, 30.524876674624224 C
Line45, 37.22153411727079 C
Line46, 32.60900845976526 C
Line47, 43.761418939952534 C
Line48, 35.45469650052282 C
Line49, 36.575716160899375 C
Line50, 38.35851169981635 C
Line51, 39.00593079116209 C
Line52, 36.0232461331005 C
Line53, 37.667468624413246 C
Line54, 34.47285750201868 C
Line55, 32.9056557564346 C
Line56, 42.375444045177154 C
Line57, 41.953949470132656 C
Line58, 34.87025512800796 C
Line59, 34.1253049855902 C
Line60, 41.070227248276545 C
Line61, 43.428890781240064 C
Line62, 38.56243778632964 C
Line63, 37.02510369848781 C
Line64, 34.049352714126066 C
Line65, 38.481316060480765 C
Line66, 38.81865906159459 C
Line67, 38.96339437343773 C
Line68, 30.665482719982105 C
Line69, 33.82153461550224 C
Line70, 36.57122842763238 C
Line71, 42.4742109223115 C
Line72, 32.63521170010085 C
Line73, 40.500897198720054 C
Line74, 32.46278401897347 C
Line75, 38.44801263481708 C
Line76, 33.554499421821305 C
Line77, 37.793376720268796 C
Line78, 32.017028019676545 C
Line79, 38.76297178988671 C
Line80, 37.94397516842257 C
Line81, 31.56414434330609 C
Line82, 39.301491323187484 C
Line83, 34.86205580332112 C
Line84, 43.707552847543894 C
Line85, 36.178289139536474 C
Line86, 38.804998351189376 C
Line87, 39.68574011858776 C
Line88, 38.5455492294013 C
Line89, 34.09758815136655 C
Line90, 38.0671403278882 C
Line91, 35.55801121530033 C
Line92, 35.972387480822015 C
Line93, 36.734514425289 C
Line94, 34.783148882477676 C
Line95, 42.65939172945548 C
Line96, 44.3558182079843 C
Line97, 40.46281336970032 C
Line98, 42.06084935101486 C
Line99, 43.807925837522 C
Line100, 43.77060597174432 C
