Line 1, accelerometer reading 47.03 
Line 2, accelerometer reading 43.48 
Line 3, accelerometer reading 25.69 
Line 4, accelerometer reading 75.78 
Line 5, accelerometer reading 69.12 
Line 6, accelerometer reading 33.18 
Line 7, accelerometer reading 97.28 
Line 8, accelerometer reading 66.02 
Line 9, accelerometer reading 3.55 
Line 10, accelerometer reading 27.28 
Line 11, accelerometer reading 87.11 
Line 12, accelerometer reading 71.43 
Line 13, accelerometer reading 71.01 
Line 14, accelerometer reading 32.66 
Line 15, accelerometer reading 68.26 
Line 16, accelerometer reading 89.07 
Line 17, accelerometer reading 39.86 
Line 18, accelerometer reading 66.69 
Line 19, accelerometer reading 59.06 
Line 20, accelerometer reading 82.23 
Line 21, accelerometer reading 92.26 
Line 22, accelerometer reading 89.82 
Line 23, accelerometer reading 69.01 
Line 24, accelerometer reading 3.70 
Line 25, accelerometer reading 64.81 
Line 26, accelerometer reading 56.93 
Line 27, accelerometer reading 62.20 
Line 28, accelerometer reading 61.53 
Line 29, accelerometer reading 75.07 
Line 30, accelerometer reading 67.88 
Line 31, accelerometer reading 2.84 
Line 32, accelerometer reading 89.23 
Line 33, accelerometer reading 87.41 
Line 34, accelerometer reading 9.45 
Line 35, accelerometer reading 56.60 
Line 36, accelerometer reading 71.75 
Line 37, accelerometer reading 4.03 
Line 38, accelerometer reading 54.82 
Line 39, accelerometer reading 65.98 
Line 40, accelerometer reading 3.33 
Line 41, accelerometer reading 28.63 
Line 42, accelerometer reading 41.66 
Line 43, accelerometer reading 28.95 
Line 44, accelerometer reading 74.03 
Line 45, accelerometer reading 27.19 
Line 46, accelerometer reading 38.25 
Line 47, accelerometer reading 2.75 
Line 48, accelerometer reading 93.10 
Line 49, accelerometer reading 92.29 
Line 50, accelerometer reading 86.10 
Line 51, accelerometer reading 51.71 
Line 52, accelerometer reading 98.96 
Line 53, accelerometer reading 70.07 
Line 54, accelerometer reading 52.40 
Line 55, accelerometer reading 50.65 
Line 56, accelerometer reading 68.72 
Line 57, accelerometer reading 44.62 
Line 58, accelerometer reading 56.25 
Line 59, accelerometer reading 8.33 
Line 60, accelerometer reading 35.55 
Line 61, accelerometer reading 16.80 
Line 62, accelerometer reading 64.54 
Line 63, accelerometer reading 93.12 
Line 64, accelerometer reading 67.23 
Line 65, accelerometer reading 77.92 
Line 66, accelerometer reading 56.92 
Line 67, accelerometer reading 91.60 
Line 68, accelerometer reading 7.83 
Line 69, accelerometer reading 73.24 
Line 70, accelerometer reading 92.99 
Line 71, accelerometer reading 60.92 
Line 72, accelerometer reading 67.74 
Line 73, accelerometer reading 59.28 
Line 74, accelerometer reading 61.94 
Line 75, accelerometer reading 87.51 
Line 76, accelerometer reading 13.75 
Line 77, accelerometer reading 94.74 
Line 78, accelerometer reading 53.14 
Line 79, accelerometer reading 86.00 
Line 80, accelerometer reading 2.68 
Line 81, accelerometer reading 53.19 
Line 82, accelerometer reading 23.86 
Line 83, accelerometer reading 25.77 
Line 84, accelerometer reading 1.39 
Line 85, accelerometer reading 39.17 
Line 86, accelerometer reading 83.69 
Line 87, accelerometer reading 7.76 
Line 88, accelerometer reading 39.32 
Line 89, accelerometer reading 87.63 
Line 90, accelerometer reading 64.57 
Line 91, accelerometer reading 57.92 
Line 92, accelerometer reading 23.33 
Line 93, accelerometer reading 6.17 
Line 94, accelerometer reading 10.48 
Line 95, accelerometer reading 37.40 
Line 96, accelerometer reading 76.21 
Line 97, accelerometer reading 57.78 
Line 98, accelerometer reading 78.99 
Line 99, accelerometer reading 70.15 
