Line 1, humidity reading 80.43 %
Line 2, humidity reading 81.42 %
Line 3, humidity reading 54.91 %
Line 4, humidity reading 42.24 %
Line 5, humidity reading 86.08 %
Line 6, humidity reading 99.09 %
Line 7, humidity reading 66.57 %
Line 8, humidity reading 85.55 %
Line 9, humidity reading 94.59 %
Line 10, humidity reading 81.36 %
Line 11, humidity reading 86.15 %
Line 12, humidity reading 91.17 %
Line 13, humidity reading 65.33 %
Line 14, humidity reading 86.35 %
Line 15, humidity reading 45.36 %
Line 16, humidity reading 96.29 %
Line 17, humidity reading 86.62 %
Line 18, humidity reading 95.59 %
Line 19, humidity reading 64.86 %
Line 20, humidity reading 44.34 %
Line 21, humidity reading 85.52 %
Line 22, humidity reading 61.09 %
Line 23, humidity reading 95.73 %
Line 24, humidity reading 52.29 %
Line 25, humidity reading 53.68 %
Line 26, humidity reading 62.32 %
Line 27, humidity reading 50.29 %
Line 28, humidity reading 83.28 %
Line 29, humidity reading 75.36 %
Line 30, humidity reading 74.69 %
Line 31, humidity reading 89.32 %
Line 32, humidity reading 82.86 %
Line 33, humidity reading 91.76 %
Line 34, humidity reading 75.32 %
Line 35, humidity reading 52.54 %
Line 36, humidity reading 66.94 %
Line 37, humidity reading 91.97 %
Line 38, humidity reading 99.77 %
Line 39, humidity reading 47.89 %
Line 40, humidity reading 67.84 %
Line 41, humidity reading 48.47 %
Line 42, humidity reading 81.43 %
Line 43, humidity reading 45.47 %
Line 44, humidity reading 72.77 %
Line 45, humidity reading 55.63 %
Line 46, humidity reading 43.35 %
Line 47, humidity reading 46.85 %
Line 48, humidity reading 56.59 %
Line 49, humidity reading 82.55 %
Line 50, humidity reading 86.12 %
Line 51, humidity reading 49.09 %
Line 52, humidity reading 43.25 %
Line 53, humidity reading 93.21 %
Line 54, humidity reading 41.84 %
Line 55, humidity reading 95.64 %
Line 56, humidity reading 95.68 %
Line 57, humidity reading 68.45 %
Line 58, humidity reading 41.23 %
Line 59, humidity reading 56.27 %
Line 60, humidity reading 91.55 %
Line 61, humidity reading 91.57 %
Line 62, humidity reading 87.59 %
Line 63, humidity reading 75.36 %
Line 64, humidity reading 98.54 %
Line 65, humidity reading 73.36 %
Line 66, humidity reading 76.57 %
Line 67, humidity reading 54.86 %
Line 68, humidity reading 62.48 %
Line 69, humidity reading 64.32 %
Line 70, humidity reading 67.74 %
Line 71, humidity reading 58.64 %
Line 72, humidity reading 60.94 %
Line 73, humidity reading 92.38 %
Line 74, humidity reading 88.08 %
Line 75, humidity reading 69.26 %
Line 76, humidity reading 72.88 %
Line 77, humidity reading 66.80 %
Line 78, humidity reading 53.27 %
Line 79, humidity reading 62.76 %
Line 80, humidity reading 89.57 %
Line 81, humidity reading 88.78 %
Line 82, humidity reading 73.01 %
Line 83, humidity reading 89.97 %
Line 84, humidity reading 81.35 %
Line 85, humidity reading 89.20 %
Line 86, humidity reading 50.63 %
Line 87, humidity reading 59.87 %
Line 88, humidity reading 42.54 %
Line 89, humidity reading 80.80 %
Line 90, humidity reading 95.98 %
Line 91, humidity reading 72.23 %
Line 92, humidity reading 87.81 %
Line 93, humidity reading 55.16 %
Line 94, humidity reading 89.01 %
Line 95, humidity reading 96.08 %
Line 96, humidity reading 59.32 %
Line 97, humidity reading 63.55 %
Line 98, humidity reading 44.78 %
Line 99, humidity reading 82.34 %
