Line 1, temperature reading 38.37 C
Line 2, temperature reading 44.22 C
Line 3, temperature reading 36.80 C
Line 4, temperature reading 31.64 C
Line 5, temperature reading 33.87 C
Line 6, temperature reading 36.05 C
Line 7, temperature reading 39.62 C
Line 8, temperature reading 37.60 C
Line 9, temperature reading 32.40 C
Line 10, temperature reading 41.02 C
Line 11, temperature reading 35.20 C
Line 12, temperature reading 32.82 C
Line 13, temperature reading 43.32 C
Line 14, temperature reading 33.96 C
Line 15, temperature reading 37.81 C
Line 16, temperature reading 34.62 C
Line 17, temperature reading 34.25 C
Line 18, temperature reading 30.56 C
Line 19, temperature reading 44.64 C
Line 20, temperature reading 31.14 C
Line 21, temperature reading 33.30 C
Line 22, temperature reading 44.10 C
Line 23, temperature reading 34.83 C
Line 24, temperature reading 36.13 C
Line 25, temperature reading 36.41 C
Line 26, temperature reading 41.47 C
Line 27, temperature reading 36.96 C
Line 28, temperature reading 44.39 C
Line 29, temperature reading 37.04 C
Line 30, temperature reading 38.11 C
Line 31, temperature reading 40.59 C
Line 32, temperature reading 42.72 C
Line 33, temperature reading 33.95 C
Line 34, temperature reading 43.08 C
Line 35, temperature reading 42.15 C
Line 36, temperature reading 35.04 C
Line 37, temperature reading 33.99 C
Line 38, temperature reading 31.22 C
Line 39, temperature reading 31.45 C
Line 40, temperature reading 38.14 C
Line 41, temperature reading 39.73 C
Line 42, temperature reading 31.48 C
Line 43, temperature reading 39.08 C
Line 44, temperature reading 32.25 C
Line 45, temperature reading 33.60 C
Line 46, temperature reading 44.61 C
Line 47, temperature reading 41.66 C
Line 48, temperature reading 38.46 C
Line 49, temperature reading 35.17 C
Line 50, temperature reading 30.30 C
Line 51, temperature reading 31.84 C
Line 52, temperature reading 35.00 C
Line 53, temperature reading 32.77 C
Line 54, temperature reading 44.77 C
Line 55, temperature reading 32.45 C
Line 56, temperature reading 39.15 C
Line 57, temperature reading 35.65 C
Line 58, temperature reading 37.32 C
Line 59, temperature reading 31.54 C
Line 60, temperature reading 36.75 C
Line 61, temperature reading 37.87 C
Line 62, temperature reading 40.12 C
Line 63, temperature reading 36.27 C
Line 64, temperature reading 31.20 C
Line 65, temperature reading 34.86 C
Line 66, temperature reading 41.88 C
Line 67, temperature reading 33.14 C
Line 68, temperature reading 38.95 C
Line 69, temperature reading 38.55 C
Line 70, temperature reading 44.56 C
Line 71, temperature reading 33.51 C
Line 72, temperature reading 43.63 C
Line 73, temperature reading 38.13 C
Line 74, temperature reading 35.40 C
Line 75, temperature reading 44.48 C
Line 76, temperature reading 36.99 C
Line 77, temperature reading 37.37 C
Line 78, temperature reading 38.90 C
Line 79, temperature reading 40.22 C
Line 80, temperature reading 41.25 C
Line 81, temperature reading 39.06 C
Line 82, temperature reading 30.99 C
Line 83, temperature reading 37.40 C
Line 84, temperature reading 34.61 C
Line 85, temperature reading 31.30 C
Line 86, temperature reading 40.28 C
Line 87, temperature reading 35.63 C
Line 88, temperature reading 41.11 C
Line 89, temperature reading 40.39 C
Line 90, temperature reading 31.65 C
Line 91, temperature reading 30.34 C
Line 92, temperature reading 39.53 C
Line 93, temperature reading 33.25 C
Line 94, temperature reading 39.02 C
Line 95, temperature reading 44.71 C
Line 96, temperature reading 44.36 C
Line 97, temperature reading 30.72 C
Line 98, temperature reading 40.88 C
Line 99, temperature reading 38.09 C
