Line 1, accelerometer reading 63.34 
Line 2, accelerometer reading 93.83 
Line 3, accelerometer reading 11.18 
Line 4, accelerometer reading 43.18 
Line 5, accelerometer reading 19.09 
Line 6, accelerometer reading 16.96 
Line 7, accelerometer reading 67.89 
Line 8, accelerometer reading 41.49 
Line 9, accelerometer reading 65.74 
Line 10, accelerometer reading 32.50 
Line 11, accelerometer reading 2.64 
Line 12, accelerometer reading 38.02 
Line 13, accelerometer reading 18.52 
Line 14, accelerometer reading 13.37 
Line 15, accelerometer reading 37.43 
Line 16, accelerometer reading 20.84 
Line 17, accelerometer reading 48.73 
Line 18, accelerometer reading 19.79 
Line 19, accelerometer reading 38.05 
Line 20, accelerometer reading 20.14 
Line 21, accelerometer reading 83.33 
Line 22, accelerometer reading 87.17 
Line 23, accelerometer reading 12.42 
Line 24, accelerometer reading 54.16 
Line 25, accelerometer reading 91.25 
Line 26, accelerometer reading 31.01 
Line 27, accelerometer reading 83.62 
Line 28, accelerometer reading 47.62 
Line 29, accelerometer reading 85.83 
Line 30, accelerometer reading 48.40 
Line 31, accelerometer reading 58.68 
Line 32, accelerometer reading 81.19 
Line 33, accelerometer reading 83.50 
Line 34, accelerometer reading 44.06 
Line 35, accelerometer reading 6.27 
Line 36, accelerometer reading 22.60 
Line 37, accelerometer reading 14.10 
Line 38, accelerometer reading 47.07 
Line 39, accelerometer reading 72.18 
Line 40, accelerometer reading 16.87 
Line 41, accelerometer reading 20.28 
Line 42, accelerometer reading 62.48 
Line 43, accelerometer reading 52.08 
Line 44, accelerometer reading 35.68 
Line 45, accelerometer reading 82.36 
Line 46, accelerometer reading 93.79 
Line 47, accelerometer reading 50.63 
Line 48, accelerometer reading 91.77 
Line 49, accelerometer reading 52.56 
Line 50, accelerometer reading 45.78 
Line 51, accelerometer reading 63.90 
Line 52, accelerometer reading 96.48 
Line 53, accelerometer reading 70.95 
Line 54, accelerometer reading 62.12 
Line 55, accelerometer reading 9.81 
Line 56, accelerometer reading 95.90 
Line 57, accelerometer reading 27.10 
Line 58, accelerometer reading 58.93 
Line 59, accelerometer reading 84.53 
Line 60, accelerometer reading 42.38 
Line 61, accelerometer reading 68.52 
Line 62, accelerometer reading 5.64 
Line 63, accelerometer reading 59.51 
Line 64, accelerometer reading 15.43 
Line 65, accelerometer reading 36.30 
Line 66, accelerometer reading 54.84 
Line 67, accelerometer reading 2.77 
Line 68, accelerometer reading 16.03 
Line 69, accelerometer reading 10.38 
Line 70, accelerometer reading 36.51 
Line 71, accelerometer reading 37.31 
Line 72, accelerometer reading 8.17 
Line 73, accelerometer reading 27.16 
Line 74, accelerometer reading 91.67 
Line 75, accelerometer reading 8.30 
Line 76, accelerometer reading 74.47 
Line 77, accelerometer reading 9.85 
Line 78, accelerometer reading 50.56 
Line 79, accelerometer reading 69.11 
Line 80, accelerometer reading 40.67 
Line 81, accelerometer reading 66.06 
Line 82, accelerometer reading 95.69 
Line 83, accelerometer reading 87.45 
Line 84, accelerometer reading 61.10 
Line 85, accelerometer reading 39.03 
Line 86, accelerometer reading 56.60 
Line 87, accelerometer reading 57.98 
Line 88, accelerometer reading 7.14 
Line 89, accelerometer reading 13.66 
Line 90, accelerometer reading 85.98 
Line 91, accelerometer reading 73.79 
Line 92, accelerometer reading 13.67 
Line 93, accelerometer reading 81.92 
Line 94, accelerometer reading 53.99 
Line 95, accelerometer reading 28.93 
Line 96, accelerometer reading 28.44 
Line 97, accelerometer reading 72.94 
Line 98, accelerometer reading 17.96 
Line 99, accelerometer reading 41.42 
