Wed Nov 15 2017 08:58:49 GMT+0600 (Bangladesh Standard Time), Line 1, 30.85 C
Wed Nov 15 2017 08:58:50 GMT+0600 (Bangladesh Standard Time), Line 1, 15.69 C
Wed Nov 15 2017 08:58:50 GMT+0600 (Bangladesh Standard Time), Line 2, 34.60 C
Wed Nov 15 2017 08:58:51 GMT+0600 (Bangladesh Standard Time), Line 1, 61.78 C
Wed Nov 15 2017 08:58:51 GMT+0600 (Bangladesh Standard Time), Line 3, 37.67 C
Wed Nov 15 2017 08:58:52 GMT+0600 (Bangladesh Standard Time), Line 2, 83.16 C
Wed Nov 15 2017 08:58:52 GMT+0600 (Bangladesh Standard Time), Line 4, 36.51 C
Wed Nov 15 2017 08:58:53 GMT+0600 (Bangladesh Standard Time), Line 5, 40.81 C
Wed Nov 15 2017 08:58:54 GMT+0600 (Bangladesh Standard Time), Line 2, 57.05 C
Wed Nov 15 2017 08:58:54 GMT+0600 (Bangladesh Standard Time), Line 3, 73.86 C
Wed Nov 15 2017 08:58:54 GMT+0600 (Bangladesh Standard Time), Line 6, 34.77 C
Wed Nov 15 2017 08:58:55 GMT+0600 (Bangladesh Standard Time), Line 7, 43.74 C
Wed Nov 15 2017 08:58:56 GMT+0600 (Bangladesh Standard Time), Line 4, 7.95 C
Wed Nov 15 2017 08:58:56 GMT+0600 (Bangladesh Standard Time), Line 8, 39.44 C
Wed Nov 15 2017 08:58:57 GMT+0600 (Bangladesh Standard Time), Line 3, 53.50 C
Wed Nov 15 2017 08:58:57 GMT+0600 (Bangladesh Standard Time), Line 9, 34.16 C
Wed Nov 15 2017 08:58:58 GMT+0600 (Bangladesh Standard Time), Line 5, 5.34 C
Wed Nov 15 2017 08:58:58 GMT+0600 (Bangladesh Standard Time), Line 10, 40.48 C
Wed Nov 15 2017 08:59:00 GMT+0600 (Bangladesh Standard Time), Line 4, 64.52 C
Wed Nov 15 2017 08:59:00 GMT+0600 (Bangladesh Standard Time), Line 6, 43.11 C
Wed Nov 15 2017 08:59:02 GMT+0600 (Bangladesh Standard Time), Line 7, 57.95 C
Wed Nov 15 2017 08:59:03 GMT+0600 (Bangladesh Standard Time), Line 5, 94.06 C
Wed Nov 15 2017 08:59:04 GMT+0600 (Bangladesh Standard Time), Line 8, 72.58 C
Wed Nov 15 2017 08:59:06 GMT+0600 (Bangladesh Standard Time), Line 6, 73.31 C
Wed Nov 15 2017 08:59:06 GMT+0600 (Bangladesh Standard Time), Line 9, 40.18 C
Wed Nov 15 2017 08:59:08 GMT+0600 (Bangladesh Standard Time), Line 10, 65.83 C
Wed Nov 15 2017 08:59:09 GMT+0600 (Bangladesh Standard Time), Line 7, 60.51 C
Wed Nov 15 2017 08:59:12 GMT+0600 (Bangladesh Standard Time), Line 8, 43.75 C
Wed Nov 15 2017 08:59:15 GMT+0600 (Bangladesh Standard Time), Line 9, 64.71 C
Wed Nov 15 2017 08:59:18 GMT+0600 (Bangladesh Standard Time), Line 10, 89.59 C
Wed Nov 15 2017 09:00:50 GMT+0600 (Bangladesh Standard Time), Line 1, 31.97 C
Wed Nov 15 2017 09:00:51 GMT+0600 (Bangladesh Standard Time), Line 1, 94.88 C
Wed Nov 15 2017 09:00:51 GMT+0600 (Bangladesh Standard Time), Line 2, 31.89 C
Wed Nov 15 2017 09:00:52 GMT+0600 (Bangladesh Standard Time), Line 1, 58.50 C
Wed Nov 15 2017 09:00:52 GMT+0600 (Bangladesh Standard Time), Line 3, 38.21 C
