Line 1, humidity reding 69.41 %
Line 2, humidity reding 69.88 %
Line 3, humidity reding 83.55 %
Line 4, humidity reding 71.00 %
Line 5, humidity reding 79.56 %
Line 6, humidity reding 52.17 %
Line 7, humidity reding 56.84 %
Line 8, humidity reding 44.94 %
Line 9, humidity reding 82.21 %
Line 10, humidity reding 82.21 %
Line 11, humidity reding 45.67 %
Line 12, humidity reding 77.48 %
Line 13, humidity reding 55.24 %
Line 14, humidity reding 64.62 %
Line 15, humidity reding 49.46 %
Line 16, humidity reding 99.75 %
Line 17, humidity reding 71.69 %
Line 18, humidity reding 96.82 %
Line 19, humidity reding 98.31 %
Line 20, humidity reding 97.24 %
Line 21, humidity reding 91.75 %
Line 22, humidity reding 82.60 %
Line 23, humidity reding 40.62 %
Line 24, humidity reding 64.74 %
Line 25, humidity reding 86.46 %
Line 26, humidity reding 64.33 %
Line 27, humidity reding 66.02 %
Line 28, humidity reding 86.95 %
Line 29, humidity reding 42.33 %
Line 30, humidity reding 86.36 %
Line 31, humidity reding 88.44 %
Line 32, humidity reding 52.64 %
Line 33, humidity reding 77.14 %
Line 34, humidity reding 84.85 %
Line 35, humidity reding 65.09 %
Line 36, humidity reding 92.88 %
Line 37, humidity reding 63.83 %
Line 38, humidity reding 99.68 %
Line 39, humidity reding 99.02 %
Line 40, humidity reding 69.14 %
Line 41, humidity reding 55.88 %
Line 42, humidity reding 48.81 %
Line 43, humidity reding 50.62 %
Line 44, humidity reding 90.95 %
Line 45, humidity reding 75.95 %
Line 46, humidity reding 84.83 %
Line 47, humidity reding 75.88 %
Line 48, humidity reding 48.75 %
Line 49, humidity reding 83.26 %
Line 50, humidity reding 84.98 %
Line 51, humidity reding 71.11 %
Line 52, humidity reding 48.59 %
Line 53, humidity reding 74.77 %
Line 54, humidity reding 84.77 %
Line 55, humidity reding 96.40 %
Line 56, humidity reding 69.48 %
Line 57, humidity reding 79.04 %
Line 58, humidity reding 72.56 %
Line 59, humidity reding 69.29 %
Line 60, humidity reding 61.21 %
Line 61, humidity reding 80.63 %
Line 62, humidity reding 67.65 %
Line 63, humidity reding 60.12 %
Line 64, humidity reding 60.78 %
Line 65, humidity reding 47.91 %
Line 66, humidity reding 87.37 %
Line 67, humidity reding 52.75 %
Line 68, humidity reding 72.67 %
Line 69, humidity reding 42.37 %
Line 70, humidity reding 78.14 %
Line 71, humidity reding 95.34 %
Line 72, humidity reding 70.83 %
Line 73, humidity reding 58.14 %
Line 74, humidity reding 98.20 %
Line 75, humidity reding 69.68 %
Line 76, humidity reding 42.06 %
Line 77, humidity reding 65.20 %
Line 78, humidity reding 67.21 %
Line 79, humidity reding 45.72 %
Line 80, humidity reding 41.46 %
Line 81, humidity reding 95.54 %
Line 82, humidity reding 47.14 %
Line 83, humidity reding 92.15 %
Line 84, humidity reding 54.01 %
Line 85, humidity reding 94.91 %
Line 86, humidity reding 72.38 %
Line 87, humidity reding 55.24 %
Line 88, humidity reding 51.44 %
Line 89, humidity reding 55.13 %
Line 90, humidity reding 76.77 %
Line 91, humidity reding 52.71 %
Line 92, humidity reding 87.64 %
Line 93, humidity reding 46.46 %
Line 94, humidity reding 82.95 %
Line 95, humidity reding 49.77 %
Line 96, humidity reding 75.19 %
Line 97, humidity reding 47.25 %
Line 98, humidity reding 43.41 %
Line 99, humidity reding 93.34 %
