Line 1, temperature reading 39.22 C
Line 2, temperature reading 40.51 C
Line 3, temperature reading 43.47 C
Line 4, temperature reading 39.83 C
Line 5, temperature reading 35.54 C
Line 6, temperature reading 44.13 C
Line 7, temperature reading 38.13 C
Line 8, temperature reading 36.49 C
Line 9, temperature reading 43.03 C
Line 10, temperature reading 40.70 C
Line 11, temperature reading 39.67 C
Line 12, temperature reading 32.25 C
Line 13, temperature reading 42.59 C
Line 14, temperature reading 44.71 C
Line 15, temperature reading 37.30 C
Line 16, temperature reading 31.35 C
Line 17, temperature reading 41.58 C
Line 18, temperature reading 35.04 C
Line 19, temperature reading 39.16 C
Line 20, temperature reading 34.28 C
Line 21, temperature reading 37.39 C
Line 22, temperature reading 37.05 C
Line 23, temperature reading 31.45 C
Line 24, temperature reading 42.58 C
Line 25, temperature reading 40.22 C
Line 26, temperature reading 36.32 C
Line 27, temperature reading 44.89 C
Line 28, temperature reading 44.46 C
Line 29, temperature reading 32.62 C
Line 30, temperature reading 42.26 C
Line 31, temperature reading 32.21 C
Line 32, temperature reading 35.49 C
Line 33, temperature reading 43.17 C
Line 34, temperature reading 32.40 C
Line 35, temperature reading 34.29 C
Line 36, temperature reading 38.71 C
Line 37, temperature reading 32.97 C
Line 38, temperature reading 41.55 C
Line 39, temperature reading 34.97 C
Line 40, temperature reading 36.36 C
Line 41, temperature reading 43.10 C
Line 42, temperature reading 31.82 C
Line 43, temperature reading 37.34 C
Line 44, temperature reading 33.08 C
Line 45, temperature reading 33.19 C
Line 46, temperature reading 36.58 C
Line 47, temperature reading 37.35 C
Line 48, temperature reading 34.07 C
Line 49, temperature reading 37.64 C
Line 50, temperature reading 36.32 C
Line 51, temperature reading 33.18 C
Line 52, temperature reading 38.96 C
Line 53, temperature reading 43.25 C
Line 54, temperature reading 39.97 C
Line 55, temperature reading 36.99 C
Line 56, temperature reading 31.84 C
Line 57, temperature reading 30.71 C
Line 58, temperature reading 39.41 C
Line 59, temperature reading 35.89 C
Line 60, temperature reading 42.22 C
Line 61, temperature reading 36.66 C
Line 62, temperature reading 30.79 C
Line 63, temperature reading 38.93 C
Line 64, temperature reading 35.23 C
Line 65, temperature reading 31.60 C
Line 66, temperature reading 41.78 C
Line 67, temperature reading 41.09 C
Line 68, temperature reading 44.16 C
Line 69, temperature reading 30.29 C
Line 70, temperature reading 32.99 C
Line 71, temperature reading 39.60 C
Line 72, temperature reading 37.00 C
Line 73, temperature reading 33.59 C
Line 74, temperature reading 41.59 C
Line 75, temperature reading 35.38 C
Line 76, temperature reading 36.89 C
Line 77, temperature reading 36.23 C
Line 78, temperature reading 36.66 C
Line 79, temperature reading 31.72 C
Line 80, temperature reading 39.08 C
Line 81, temperature reading 43.69 C
Line 82, temperature reading 43.29 C
Line 83, temperature reading 32.94 C
Line 84, temperature reading 38.37 C
Line 85, temperature reading 42.81 C
Line 86, temperature reading 37.02 C
Line 87, temperature reading 34.14 C
Line 88, temperature reading 33.99 C
Line 89, temperature reading 39.06 C
Line 90, temperature reading 41.90 C
Line 91, temperature reading 31.41 C
Line 92, temperature reading 30.92 C
Line 93, temperature reading 43.89 C
Line 94, temperature reading 39.87 C
Line 95, temperature reading 35.07 C
Line 96, temperature reading 34.67 C
Line 97, temperature reading 41.66 C
Line 98, temperature reading 32.16 C
Line 99, temperature reading 31.40 C
