Line1, 58.67347874430443 %
Line2, 44.144725886403556 %
Line3, 93.27415081275439 %
Line4, 97.7850257079634 %
Line5, 95.5194153756847 %
Line6, 73.40371992486111 %
Line7, 88.7243005283095 %
Line8, 73.10468422991195 %
Line9, 84.7458052626993 %
Line10, 69.11488669412964 %
Line11, 61.88672812710321 %
Line12, 94.18494377361623 %
Line13, 71.01615663026297 %
Line14, 63.47700208152693 %
Line15, 73.39497691926495 %
Line16, 78.9014397895624 %
Line17, 79.16341802361922 %
Line18, 52.84015898415472 %
Line19, 61.8828043329368 %
Line20, 48.463542605371444 %
Line21, 44.31135371312948 %
Line22, 60.40754066655568 %
Line23, 52.66977603114939 %
Line24, 87.79552744288347 %
Line25, 97.89109141375104 %
Line26, 52.73629980789822 %
Line27, 85.64552936818387 %
Line28, 55.98267076303485 %
Line29, 76.09446481897378 %
Line30, 42.61953982792833 %
Line31, 40.7503635889798 %
Line32, 46.224690989562774 %
Line33, 74.71061365006304 %
Line34, 56.422347928642935 %
Line35, 72.76419214881871 %
Line36, 64.02841469704343 %
Line37, 67.37695451155496 %
Line38, 69.44933680880328 %
Line39, 83.03327109793784 %
Line40, 86.50226274043558 %
Line41, 61.943711338030376 %
Line42, 84.58642573908025 %
Line43, 52.20940598441885 %
Line44, 78.52885222165963 %
Line45, 59.86041937041058 %
Line46, 48.8041143654918 %
Line47, 46.301561505043864 %
Line48, 76.67642312891743 %
Line49, 44.573500008213 %
Line50, 97.52905957806837 %
Line51, 93.26977970651129 %
Line52, 66.5322360733864 %
Line53, 91.58721427625389 %
Line54, 83.45580027353617 %
Line55, 72.77567382362642 %
Line56, 83.27500286631978 %
Line57, 83.91360116999238 %
Line58, 69.1845403317495 %
Line59, 43.089237072899394 %
Line60, 95.01551394561733 %
Line61, 42.55939706626697 %
Line62, 72.71863272011603 %
Line63, 95.51959832475069 %
Line64, 80.94808764050546 %
Line65, 85.21615034276587 %
Line66, 50.75076853665273 %
Line67, 99.30404582542525 %
Line68, 73.78249576726543 %
Line69, 52.52806278215315 %
Line70, 67.19633749336838 %
Line71, 61.65514608681065 %
Line72, 66.1767898835822 %
Line73, 70.28584080672825 %
Line74, 57.34175981670176 %
Line75, 91.29889280005193 %
Line76, 94.41416307847314 %
Line77, 88.99426641896869 %
Line78, 55.67686643435124 %
Line79, 50.88095510979808 %
Line80, 81.40610401795198 %
Line81, 73.31860042397543 %
Line82, 74.72184418902204 %
Line83, 87.83938516438141 %
Line84, 62.701284795130185 %
Line85, 88.75567755705669 %
Line86, 41.31405993885203 %
Line87, 60.82578686230768 %
Line88, 90.07976018770424 %
Line89, 66.31463794347972 %
Line90, 82.49741415300372 %
Line91, 43.75197960097141 %
Line92, 44.888581578543665 %
Line93, 47.245698485960915 %
Line94, 77.17386952979226 %
Line95, 63.510537382959875 %
Line96, 47.86121392144111 %
Line97, 43.534578701857555 %
Line98, 48.12748071867559 %
Line99, 83.64153822229926 %
Line100, 88.30902522300957 %
